Target Table,Target Column,Layer,Mapping Type,QlikView Expression,Snowflake SQL,Ultimate Sources,Needs Review,Notes
BUKKEN,Purchase order acquisition date,intermediate,derived,Purchase order acquisition date,Purchase order acquisition date,-,,
BUKKEN,Date of confirmation,intermediate,derived,Date of confirmation,Date of confirmation,-,,
BUKKEN,Completion date,intermediate,derived,Completion date,Completion date,-,,
BUKKEN,last updated,intermediate,derived,last updated,last updated,-,,
BUKKEN,Delivery date,intermediate,derived,Delivery date,Delivery date,-,,
BUKKEN,Delivery note received date,intermediate,derived,Delivery note received date,Delivery note received date,-,,
BUKKEN,Apply for gross profit rate this time,intermediate,derived,Apply for gross profit rate this time,Apply for gross profit rate this time,-,,
BUKKEN,Apply before changing LP amount,intermediate,derived,Apply before changing LP amount,Apply before changing LP amount,-,,
BUKKEN,NET amount advance application,intermediate,derived,NET amount advance application,NET amount advance application,-,,
BUKKEN,Dependent matter flag,intermediate,derived,Dependent matter flag,Dependent matter flag,-,,
BUKKEN,gross profit amount after breakdown,intermediate,derived,gross profit amount after breakdown,gross profit amount after breakdown,-,,
BUKKEN,NET amount Item after breakdown,intermediate,derived,NET amount Item after breakdown,NET amount Item after breakdown,-,,
BUKKEN,NET amount after breakdown,intermediate,derived,NET amount after breakdown,NET amount after breakdown,-,,
BUKKEN,TOV amount item after breakdown,intermediate,derived,TOV amount item after breakdown,TOV amount item after breakdown,-,,
BUKKEN,TOV amount after breakdown,intermediate,derived,TOV amount after breakdown,TOV amount after breakdown,-,,
BUKKEN,Sequential number for quotation numbering,intermediate,derived,Sequential number for quotation numbering,Sequential number for quotation numbering,-,,
BUKKEN,Last updated by,intermediate,derived,Last updated by,Last updated by,-,,
BUKKEN,Application before gross profit rate change,intermediate,derived,Application before gross profit rate change,Application before gross profit rate change,-,,
BUKKEN,Construction starts,intermediate,derived,Construction starts,Construction starts,-,,
BUKKEN,*,intermediate,constant,*,*,-,,
BUKKEN,"left(BUKKEN.Sales forecast month ,4) as BUKKEN.Sales forecast CY year",intermediate,derived,"left(BUKKEN.Sales forecast month ,4) as BUKKEN.Sales forecast CY year","LEFT(BUKKEN.Sales forecast month, 4) as BUKKEN.Sales forecast CY year",-,,
BUKKEN,"if(mid(BUKKEN.Estimated sales month ,6,2)<='06' ,'A' ,'B' ) as BUKKEN.Sales forecast CY half year",intermediate,derived,"if(mid(BUKKEN.Estimated sales month ,6,2)<='06' ,'A' ,'B' ) as BUKKEN.Sales forecast CY half year","CASE WHEN SUBSTR(BUKKEN.Estimated sales month, 6, 2)<='06' THEN 'A' ELSE 'B' END as BUKKEN.Sales forecast CY half year",-,,
BUKKEN,"if(mid(BUKKEN.Estimated sales month ,6,2)<='03' ,'Q1' ,if(mid(BUKKEN.Estimated sales month ,6,2)<='06' ,'Q2' ,if(mid(BUKKEN.Estimated sales month ,6,2)<='09' ,'Q3' ,'Q4' ) ) ) as BUKKEN.Sales forecast CY quarter ResidentBUKKEN_TMP",intermediate,derived,"if(mid(BUKKEN.Estimated sales month ,6,2)<='03' ,'Q1' ,if(mid(BUKKEN.Estimated sales month ,6,2)<='06' ,'Q2' ,if(mid(BUKKEN.Estimated sales month ,6,2)<='09' ,'Q3' ,'Q4' ) ) ) as BUKKEN.Sales forecast CY quarter ResidentBUKKEN_TMP","CASE WHEN SUBSTR(BUKKEN.Estimated sales month, 6, 2)<='03' THEN 'Q1' ELSE CASE WHEN SUBSTR(BUKKEN.Estimated sales month, 6, 2)<='06' THEN 'Q2' ELSE CASE WHEN SUBSTR(BUKKEN.Estimated sales month, 6, 2)<='09' THEN 'Q3' ELSE 'Q4' END END END as BUKKEN.Sales forecast CY quarter ResidentBUKKEN_TMP",-,,
common__join39,Distinct FD as BUKKEN.FD,intermediate,derived,Distinct FD as BUKKEN.FD,Distinct FD as BUKKEN.FD,-,,
common__join39,Product category name as BUKKEN.Product category name,intermediate,derived,Product category name as BUKKEN.Product category name,Product category name as BUKKEN.Product category name,-,,
common__join39,Product classification name as BUKKEN.Product classification name,intermediate,derived,Product classification name as BUKKEN.Product classification name,Product classification name as BUKKEN.Product classification name,-,,
common__join39,Product subcategory name as BUKKEN.Product subcategory name,intermediate,derived,Product subcategory name as BUKKEN.Product subcategory name,Product subcategory name as BUKKEN.Product subcategory name,-,,
common__join40,"Distinct '20'&left( Year , 2) as BUKKEN.Estimated sales year",intermediate,derived,"Distinct '20'&left( Year , 2) as BUKKEN.Estimated sales year","Distinct '20' || LEFT(Year, 2) as BUKKEN.Estimated sales year",-,,
common__join40,"right( year , 1) as BUKKEN.Sales forecast half year",intermediate,derived,"right( year , 1) as BUKKEN.Sales forecast half year","RIGHT(year, 1) as BUKKEN.Sales forecast half year",-,,
common__join40,Channel code as BUKKEN.Channel code,intermediate,derived,Channel code as BUKKEN.Channel code,Channel code as BUKKEN.Channel code,-,,
common__join40,Channel as BUKKEN. Channel,intermediate,derived,Channel as BUKKEN. Channel,Channel as BUKKEN. Channel,-,,
common__join41,"Distinct '20'&left( Year , 2) as BUKKEN.Estimated sales year",intermediate,derived,"Distinct '20'&left( Year , 2) as BUKKEN.Estimated sales year","Distinct '20' || LEFT(Year, 2) as BUKKEN.Estimated sales year",-,,
common__join41,"right( year , 1) as BUKKEN.Sales forecast half year",intermediate,derived,"right( year , 1) as BUKKEN.Sales forecast half year","RIGHT(year, 1) as BUKKEN.Sales forecast half year",-,,
common__join41,Branch code as BUKKEN.Branch code,intermediate,derived,Branch code as BUKKEN.Branch code,Branch code as BUKKEN.Branch code,-,,
common__join41,Business Department as BUKKEN.Business Department,intermediate,derived,Business Department as BUKKEN.Business Department,Business Department as BUKKEN.Business Department,-,,
common__join41,Branch name as BUKKEN.Branch name,intermediate,derived,Branch name as BUKKEN.Branch name,Branch name as BUKKEN.Branch name,-,,
BUKKEN__join42,Construction engineer name as BUKKEN. Construction engineer name,intermediate,derived,Construction engineer name as BUKKEN. Construction engineer name,Construction engineer name as BUKKEN. Construction engineer name,-,,
BUKKEN__join42,9 as BUKKEN.Construction engineer duplicate candidate ResidentINFO_Target property,intermediate,derived,9 as BUKKEN.Construction engineer duplicate candidate ResidentINFO_Target property,9 as BUKKEN.Construction engineer duplicate candidate ResidentINFO_Target property,-,,
BUKKEN_TMP,Distinct BUKKEN. Property NO as construction property NO,intermediate,derived,Distinct BUKKEN. Property NO as construction property NO,Distinct BUKKEN. Property NO as construction property NO,-,,
BUKKEN__join44,Construction property NO as BUKKEN.Property NO,intermediate,derived,Construction property NO as BUKKEN.Property NO,Construction property NO as BUKKEN.Property NO,-,,
BUKKEN__join44,1 as BUKKEN.Construction overwrap classification ResidentBUKKEN_TMP,intermediate,derived,1 as BUKKEN.Construction overwrap classification ResidentBUKKEN_TMP,1 as BUKKEN.Construction overwrap classification ResidentBUKKEN_TMP,-,,
BUKKEN,dummy,intermediate,constant,'x','x',-,,
BUKKEN,Property No. data partition,intermediate,derived,Property No. data partition,Property No. data partition,-,,
BUKKEN,"if( data classification NO=2, if( actual cost amount >0,'9', data classification NO), Data classification NO. ) as data classification NO",intermediate,derived,"if( data classification NO=2, if( actual cost amount >0,'9', data classification NO), Data classification NO. ) as data classification NO",CASE WHEN data classification NO=2 THEN CASE WHEN actual cost amount >0 THEN '9' ELSE data classification NO END ELSE Data classification NO. END as data classification NO,-,,
BUKKEN,"Replace( matter status ,' ','') as matter status",intermediate,derived,"Replace( matter status ,' ','') as matter status","REPLACE(matter status, ' ', '') as matter status",-,,
BUKKEN,Main contractor/subcontractor classification,intermediate,derived,Main contractor/subcontractor classification,Main contractor/subcontractor classification,-,,
BUKKEN,Industrial waste treatment classification,intermediate,derived,Industrial waste treatment classification,Industrial waste treatment classification,-,,
BUKKEN,"if(JOB classification ORG=' equipment + construction ','0', if(JOB classification ORG=' Construction only ','1','2') ) as JOB classification NO",intermediate,derived,"if(JOB classification ORG=' equipment + construction ','0', if(JOB classification ORG=' Construction only ','1','2') ) as JOB classification NO",CASE WHEN JOB classification ORG=' equipment + construction ' THEN '0' ELSE CASE WHEN JOB classification ORG=' Construction only ' THEN '1' ELSE '2' END END as JOB classification NO,-,,
BUKKEN,"if(JOB classification ORG=' Equipment + Construction ', '0: Equipment + Construction ', if(JOB classification ORG=' Construction only ','1: Construction only ','2: Equipment only ') ) as JOB classification",intermediate,derived,"if(JOB classification ORG=' Equipment + Construction ', '0: Equipment + Construction ', if(JOB classification ORG=' Construction only ','1: Construction only ','2: Equipment only ') ) as JOB classification",CASE WHEN JOB classification ORG=' Equipment + Construction ' THEN '0: Equipment + Construction ' ELSE CASE WHEN JOB classification ORG=' Construction only ' THEN '1: Construction only ' ELSE '2: Equipment only ' END END as JOB classification,-,,
BUKKEN,Property ID,intermediate,derived,Property ID,Property ID,-,,
BUKKEN,Property Name,intermediate,derived,Property Name,Property Name,-,,
BUKKEN,Initial order amount,intermediate,derived,Initial order amount,Initial order amount,-,,
BUKKEN,Initial cost amount,intermediate,derived,Initial cost amount,Initial cost amount,-,,
BUKKEN,Initial gross profit amount,intermediate,derived,Initial gross profit amount,Initial gross profit amount,-,,
BUKKEN,Change order amount,intermediate,derived,Change order amount,Change order amount,-,,
BUKKEN,change cost amount,intermediate,derived,change cost amount,change cost amount,-,,
BUKKEN,Changed gross profit amount,intermediate,derived,Changed gross profit amount,Changed gross profit amount,-,,
BUKKEN,"if( change order amount >0, change order amount , original order amount ) as change order amount 2",intermediate,derived,"if( change order amount >0, change order amount , original order amount ) as change order amount 2",CASE WHEN change order amount >0 THEN change order amount ELSE original order amount END as change order amount 2,-,,
BUKKEN,"if( changed cost amount >0, changed cost amount , original cost amount ) aschanged cost amount2",intermediate,derived,"if( changed cost amount >0, changed cost amount , original cost amount ) aschanged cost amount2",CASE WHEN changed cost amount >0 THEN changed cost amount ELSE original cost amount END aschanged cost amount2,-,,
BUKKEN,"if( changed gross profit amount >0, changed gross profit amount , original gross profit amount ) as changed gross profit amount 2",intermediate,derived,"if( changed gross profit amount >0, changed gross profit amount , original gross profit amount ) as changed gross profit amount 2",CASE WHEN changed gross profit amount >0 THEN changed gross profit amount ELSE original gross profit amount END as changed gross profit amount 2,-,,
BUKKEN,Actual sales amount,intermediate,derived,Actual sales amount,Actual sales amount,-,,
BUKKEN,Actual cost amount,intermediate,derived,Actual cost amount,Actual cost amount,-,,
BUKKEN,Actual sales amount - Actual cost amount as Actual gross profit amount,intermediate,derived,Actual sales amount - Actual cost amount as Actual gross profit amount,Actual sales amount - Actual cost amount as Actual gross profit amount,-,,
BUKKEN,"Actual cost amount /if( changed cost amount > 0, changed cost amount , original cost amount ) as cost injection rate",intermediate,derived,"Actual cost amount /if( changed cost amount > 0, changed cost amount , original cost amount ) as cost injection rate",Actual cost amount /CASE WHEN changed cost amount > 0 THEN changed cost amount ELSE original cost amount END as cost injection rate,-,,
BUKKEN,FD name,intermediate,derived,FD name,FD name,-,,
BUKKEN,FD,intermediate,derived,"left(FD name ,3)","LEFT(FD name, 3)",-,,
BUKKEN,department code,intermediate,derived,department code,department code,-,,
BUKKEN,"left( department code , 2) as branch code",intermediate,derived,"left( department code , 2) as branch code","LEFT(department code, 2) as branch code",-,,
BUKKEN,"mid( department code ,3,1) as channel code",intermediate,derived,"mid( department code ,3,1) as channel code","SUBSTR(department code, 3, 1) as channel code",-,,
BUKKEN,manager,intermediate,direct,manager,manager,-,,
BUKKEN,"if(len(replace(replace( construction engineer name ,' ',''),' ',''))=0, '$(varC_GIJUTSU_NULL)', replace(replace( construction engineer name ,' ',''),' ','') ) as construction engineer name",intermediate,derived,"if(len(replace(replace( construction engineer name ,' ',''),' ',''))=0, '$(varC_GIJUTSU_NULL)', replace(replace( construction engineer name ,' ',''),' ','') ) as construction engineer name","CASE WHEN LENGTH(REPLACE(REPLACE(construction engineer name, ' ', ''), ' ', ''))=0 THEN '$(varC_GIJUTSU_NULL)' ELSE REPLACE(REPLACE(construction engineer name, ' ', ''), ' ', '') END as construction engineer name",-,,
BUKKEN,Scheduled construction start date,intermediate,derived,Scheduled construction start date,Scheduled construction start date,-,,
BUKKEN,Expected completion date,intermediate,derived,Expected completion date,Expected completion date,-,,
BUKKEN,Construction start date,intermediate,derived,Construction start date,Construction start date,-,,
BUKKEN,"if(if( changed order amount >0, changed order amount , original order amount )<35000000, 0, 1 ) as order classification",intermediate,derived,"if(if( changed order amount >0, changed order amount , original order amount )<35000000, 0, 1 ) as order classification",CASE WHEN CASE WHEN changed order amount >0 THEN changed order amount ELSE original order amount END<35000000 THEN 0 ELSE 1 END as order classification,-,,
BUKKEN,Specialty,intermediate,direct,Specialty,Specialty,-,,
BUKKEN,specialty name,intermediate,derived,specialty name,specialty name,-,,
BUKKEN,Expected sales month,intermediate,derived,Expected sales month,Expected sales month,-,,
BUKKEN,"mid( estimated sales month , 3,2) & mid( estimated sales month , 6,2) as expected sales month 4 digits",intermediate,derived,"mid( estimated sales month , 3,2) & mid( estimated sales month , 6,2) as expected sales month 4 digits","SUBSTR(estimated sales month, 3, 2) || SUBSTR(estimated sales month, 6, 2) as expected sales month 4 digits",-,,
BUKKEN,"left( sales forecast month , 4) as sales forecast actual year",intermediate,derived,"left( sales forecast month , 4) as sales forecast actual year","LEFT(sales forecast month, 4) as sales forecast actual year",-,,
BUKKEN,"if(mid( estimated sales month ,6,2)<4, left( estimated sales month , 4)-1, left( estimated sales month , 4) ) as sales forecast year",intermediate,derived,"if(mid( estimated sales month ,6,2)<4, left( estimated sales month , 4)-1, left( estimated sales month , 4) ) as sales forecast year","CASE WHEN SUBSTR(estimated sales month, 6, 2)<4 THEN LEFT(estimated sales month, 4)-1 ELSE LEFT(estimated sales month, 4) END as sales forecast year",-,,
BUKKEN,"if(mid( sales schedule month ,6,2)>='04' and mid( sales schedule month ,6,2)<='09' ,'A' ,'B' ) as sales forecast half year",intermediate,derived,"if(mid( sales schedule month ,6,2)>='04' and mid( sales schedule month ,6,2)<='09' ,'A' ,'B' ) as sales forecast half year","CASE WHEN SUBSTR(sales schedule month, 6, 2)>='04' and SUBSTR(sales schedule month, 6, 2)<='09' THEN 'A' ELSE 'B' END as sales forecast half year",-,,
BUKKEN,"if(mid( sales schedule month ,6,2)>='04' and mid( sales schedule month ,6,2)<='09' ,if(mid( planned sales month ,6,2)<='06' ,'Q1' ,'Q2' ) ,if(mid( planned sales month ,6,2)>='10' ,'Q3' ,'Q4' ) ) as expected sales quarter",intermediate,derived,"if(mid( sales schedule month ,6,2)>='04' and mid( sales schedule month ,6,2)<='09' ,if(mid( planned sales month ,6,2)<='06' ,'Q1' ,'Q2' ) ,if(mid( planned sales month ,6,2)>='10' ,'Q3' ,'Q4' ) ) as expected sales quarter","CASE WHEN SUBSTR(sales schedule month, 6, 2)>='04' and SUBSTR(sales schedule month, 6, 2)<='09' THEN CASE WHEN SUBSTR(planned sales month, 6, 2)<='06' THEN 'Q1' ELSE 'Q2' END ELSE CASE WHEN SUBSTR(planned sales month, 6, 2)>='10' THEN 'Q3' ELSE 'Q4' END END as expected sales quarter",-,,
BUKKEN,Sales recording date,intermediate,derived,Sales recording date,Sales recording date,-,,
BUKKEN,"left(date( sales recording date ,'YYYY/MM/DD'),7) as sales recording date",intermediate,derived,"left(date( sales recording date ,'YYYY/MM/DD'),7) as sales recording date","LEFT(TO_DATE(sales recording date, 'YYYY/MM/DD'), 7) as sales recording date",-,,
BUKKEN,Sales registration date,intermediate,derived,Sales registration date,Sales registration date,-,,
BUKKEN,Property information registration date,intermediate,derived,Property information registration date,Property information registration date,-,,
BUKKEN,"left ( property information registration date , 7) as property information registration date",intermediate,derived,"left ( property information registration date , 7) as property information registration date","LEFT(property information registration date, 7) as property information registration date",-,,
BUKKEN,Old property NO. Cost injection rate 2,intermediate,derived,Old property NO. Cost injection rate 2,Old property NO. Cost injection rate 2,-,,
BUKKEN,Standard gross profit rate,intermediate,derived,Standard gross profit rate,Standard gross profit rate,-,,
BUKKEN,Main department/section name,intermediate,derived,Main department/section name,Main department/section name,-,,
BUKKEN,Public and private demand classification,intermediate,derived,Public and private demand classification,Public and private demand classification,-,,
BUKKEN,Delivery name,intermediate,derived,Delivery name,Delivery name,-,,
BUKKEN,Prefecture & property location as delivery address,intermediate,derived,Prefecture & property location as delivery address,Prefecture || property location as delivery address,-,,
BUKKEN,Scheduled completion date,intermediate,derived,Scheduled completion date,Scheduled completion date,-,,
BUKKEN,Purchase order acquisition date,intermediate,derived,Purchase order acquisition date,Purchase order acquisition date,-,,
BUKKEN,Date of confirmation,intermediate,derived,Date of confirmation,Date of confirmation,-,,
BUKKEN,Completion date,intermediate,derived,Completion date,Completion date,-,,
BUKKEN,last updated,intermediate,derived,last updated,last updated,-,,
BUKKEN,Delivery date,intermediate,derived,Delivery date,Delivery date,-,,
BUKKEN,Delivery note received date,intermediate,derived,Delivery note received date,Delivery note received date,-,,
BUKKEN,Apply for gross profit rate this time,intermediate,derived,Apply for gross profit rate this time,Apply for gross profit rate this time,-,,
BUKKEN,Apply before changing LP amount,intermediate,derived,Apply before changing LP amount,Apply before changing LP amount,-,,
BUKKEN,NET amount advance application,intermediate,derived,NET amount advance application,NET amount advance application,-,,
BUKKEN,Dependent matter flag,intermediate,derived,Dependent matter flag,Dependent matter flag,-,,
BUKKEN,gross profit amount after breakdown,intermediate,derived,gross profit amount after breakdown,gross profit amount after breakdown,-,,
BUKKEN,NET amount Item after breakdown,intermediate,derived,NET amount Item after breakdown,NET amount Item after breakdown,-,,
BUKKEN,NET amount after breakdown,intermediate,derived,NET amount after breakdown,NET amount after breakdown,-,,
BUKKEN,TOV amount item after breakdown,intermediate,derived,TOV amount item after breakdown,TOV amount item after breakdown,-,,
BUKKEN,TOV amount after breakdown,intermediate,derived,TOV amount after breakdown,TOV amount after breakdown,-,,
BUKKEN,Sequential number for quotation numbering,intermediate,derived,Sequential number for quotation numbering,Sequential number for quotation numbering,-,,
BUKKEN,Last updated by,intermediate,derived,Last updated by,Last updated by,-,,
BUKKEN,Application before gross profit rate change,intermediate,derived,Application before gross profit rate change,Application before gross profit rate change,-,,
BUKKEN,Construction starts,intermediate,derived,Construction starts,Construction starts,-,,
BUKKEN,*,intermediate,constant,*,*,-,,
BUKKEN,"left(BUKKEN.Sales forecast month ,4) as BUKKEN.Sales forecast CY year",intermediate,derived,"left(BUKKEN.Sales forecast month ,4) as BUKKEN.Sales forecast CY year","LEFT(BUKKEN.Sales forecast month, 4) as BUKKEN.Sales forecast CY year",-,,
BUKKEN,"if(mid(BUKKEN.Estimated sales month ,6,2)<='06' ,'A' ,'B' ) as BUKKEN.Sales forecast CY half year",intermediate,derived,"if(mid(BUKKEN.Estimated sales month ,6,2)<='06' ,'A' ,'B' ) as BUKKEN.Sales forecast CY half year","CASE WHEN SUBSTR(BUKKEN.Estimated sales month, 6, 2)<='06' THEN 'A' ELSE 'B' END as BUKKEN.Sales forecast CY half year",-,,
BUKKEN,"if(mid(BUKKEN.Estimated sales month ,6,2)<='03' ,'Q1' ,if(mid(BUKKEN.Estimated sales month ,6,2)<='06' ,'Q2' ,if(mid(BUKKEN.Estimated sales month ,6,2)<='09' ,'Q3' ,'Q4' ) ) ) as BUKKEN.Sales forecast CY quarter ResidentBUKKEN_TMP",intermediate,derived,"if(mid(BUKKEN.Estimated sales month ,6,2)<='03' ,'Q1' ,if(mid(BUKKEN.Estimated sales month ,6,2)<='06' ,'Q2' ,if(mid(BUKKEN.Estimated sales month ,6,2)<='09' ,'Q3' ,'Q4' ) ) ) as BUKKEN.Sales forecast CY quarter ResidentBUKKEN_TMP","CASE WHEN SUBSTR(BUKKEN.Estimated sales month, 6, 2)<='03' THEN 'Q1' ELSE CASE WHEN SUBSTR(BUKKEN.Estimated sales month, 6, 2)<='06' THEN 'Q2' ELSE CASE WHEN SUBSTR(BUKKEN.Estimated sales month, 6, 2)<='09' THEN 'Q3' ELSE 'Q4' END END END as BUKKEN.Sales forecast CY quarter ResidentBUKKEN_TMP",-,,
IDO_SOURCE,Date of Occurrence_SOURCE asDate of Occurrence,staging,derived,Date of Occurrence_SOURCE asDate of Occurrence,Date of Occurrence_SOURCE asDate of Occurrence,"ido_source_all.Date, ido_source_all.of, ido_source_all.Occurrence_SOURCE, ido_source_all.asDate, ido_source_all.Occurrence",,
CALT,CDATE,intermediate,direct,CDATE,CDATE,-,,
CALT,CDATE_SEQ,intermediate,constant,RowNo(),/* TODO review */ RowNo(),-,Yes,Function 'RowNo()' requires manual review (no deterministic Snowflake equivalent).
table_48,max(CDATE_SEQ)as MAX_CDATE_SEQ,intermediate,derived,max(CDATE_SEQ)as MAX_CDATE_SEQ,MAX(CDATE_SEQ)as MAX_CDATE_SEQ,-,,
WORKING_DATE_NOW,*,intermediate,constant,*,*,-,,
WORKING_DATE_NOW__join50,"(common Accrual date , 'Peek('CDATE', i-1, 'CALT' )' as working date , $(varN_SEQNo) as working day serial number , Peek('MAX_CDATE_SEQ', -1, 'CALT_TEMP' ) as number of working days in the month , left(date( date of occurrence ,'YYYYMM'),6) as month and year of occurrence Resident IDO_SOURCE where date of occurrence >='Peek('CDATE', i-1, 'CALT' )' and date of occurrence <'AddMonths('$(varC_WorkingMonth)/01',1)",intermediate,derived,"(common Accrual date , 'Peek('CDATE', i-1, 'CALT' )' as working date , $(varN_SEQNo) as working day serial number , Peek('MAX_CDATE_SEQ', -1, 'CALT_TEMP' ) as number of working days in the month , left(date( date of occurrence ,'YYYYMM'),6) as month and year of occurrence Resident IDO_SOURCE where date of occurrence >='Peek('CDATE', i-1, 'CALT' )' and date of occurrence <'AddMonths('$(varC_WorkingMonth)/01',1)'","(common Accrual date , 'LAG(CDATE, i-1) OVER (ORDER BY 1 /* TODO: specify order key */)' as working date , $(varN_SEQNo) as working day serial number , LEAD(MAX_CDATE_SEQ, 1) OVER (ORDER BY 1 /* TODO: specify order key */) as number of working days in the month , LEFT(TO_DATE(date of occurrence, 'YYYYMM'), 6) as month and year of occurrence Resident IDO_SOURCE where date of occurrence >='LAG(CDATE, i-1) OVER (ORDER BY 1 /* TODO: specify order key */)' and date of occurrence <'DATEADD('MONTH', 1, '$(varC_WorkingMonth)/01')'",-,Yes,Peek() converted to LAG() - VALIDATE ORDER BY. QlikView Peek references row position in load order.; Peek() converted to LEAD() - VALIDATE ORDER BY. QlikView Peek references row position in load order.; Peek() converted to LAG() - VALIDATE ORDER BY. QlikView Peek references row position in load order.
WORKING_DATE_NOW__join50__join51,*,staging,constant,*,*,-,,
common__join52,FCT_ID,staging,constant,'TEN','TEN',-,,
common__join52,FCT_year,staging,constant,"'20' & left(SubField(FileLocationName(),'_',2),2)","'20' || LEFT(SPLIT_PART(/* TODO review */ FileLocationName(), '_', 2), 2)",-,Yes,Function 'FileLocationName()' not in mapping - emitted verbatim; verify Snowflake compatibility.
common__join52,FCT_period,staging,constant,"Upper(right(SubField(FileLocationName(),'_',2),1))","UPPER(RIGHT(SPLIT_PART(/* TODO review */ FileLocationName(), '_', 2), 1))",-,Yes,Function 'FileLocationName()' not in mapping - emitted verbatim; verify Snowflake compatibility.
common__join52,FCT_CD,staging,derived,"if(D='VA(Z)','V@',D)",CASE WHEN D='/* TODO review */ VA(Z)' THEN 'V@' ELSE D END,mikomi.D,Yes,Function 'VA()' not in mapping - emitted verbatim; verify Snowflake compatibility.
common__join52,FCT1_1,staging,derived,"if(IsNull(G)=True(),0,G)",CASE WHEN G IS NULL=TRUE THEN 0 ELSE G END,mikomi.G,,
common__join52,FCT2_1,staging,derived,"if(IsNull(H)=True(),0,H)",CASE WHEN H IS NULL=TRUE THEN 0 ELSE H END,mikomi.H,,
common__join52,FCT1_2,staging,derived,"if(IsNull(L)=True(),0,L)",CASE WHEN L IS NULL=TRUE THEN 0 ELSE L END,mikomi.L,,
common__join52,FCT2_2,staging,derived,"if(IsNull(M)=True(),0,M)",CASE WHEN M IS NULL=TRUE THEN 0 ELSE M END,mikomi.M,,
common__join52,FCT1_3,staging,derived,"if(IsNull(Q)=True(),0,Q)",CASE WHEN Q IS NULL=TRUE THEN 0 ELSE Q END,mikomi.Q,,
common__join52,FCT2_3,staging,derived,"if(IsNull(R)=True(),0,R)",CASE WHEN R IS NULL=TRUE THEN 0 ELSE R END,mikomi.R,,
common__join52,FCT1_4,staging,derived,"if(IsNull(V)=True(),0,V)",CASE WHEN V IS NULL=TRUE THEN 0 ELSE V END,mikomi.V,,
common__join52,FCT2_4,staging,derived,"if(IsNull(W)=True(),0,W)",CASE WHEN W IS NULL=TRUE THEN 0 ELSE W END,mikomi.W,,
common__join52,FCT1_5,staging,derived,"if(IsNull(AA)=True(),0,AA)",CASE WHEN AA IS NULL=TRUE THEN 0 ELSE AA END,mikomi.AA,,
common__join52,FCT2_5,staging,derived,"if(IsNull(AB)=True(),0,AB)",CASE WHEN AB IS NULL=TRUE THEN 0 ELSE AB END,mikomi.AB,,
common__join52,FCT1_6,staging,derived,"if(IsNull(AF)=True(),0,AF)",CASE WHEN AF IS NULL=TRUE THEN 0 ELSE AF END,mikomi.AF,,
common__join52,FCT2_6,staging,derived,"if(IsNull(AG)=True(),0,AG)",CASE WHEN AG IS NULL=TRUE THEN 0 ELSE AG END,mikomi.AG,,
common__join53,FCT_ID,staging,constant,'SBU','SBU',-,,
common__join53,FCT_year,staging,constant,"'20' & left(SubField(FileLocationName(),'_',2),2)","'20' || LEFT(SPLIT_PART(/* TODO review */ FileLocationName(), '_', 2), 2)",-,Yes,Function 'FileLocationName()' not in mapping - emitted verbatim; verify Snowflake compatibility.
common__join53,FCT_period,staging,constant,"Upper(right(SubField(FileLocationName(),'_',2),1))","UPPER(RIGHT(SPLIT_PART(/* TODO review */ FileLocationName(), '_', 2), 1))",-,Yes,Function 'FileLocationName()' not in mapping - emitted verbatim; verify Snowflake compatibility.
common__join53,FCT_CD,staging,direct,D,D,mikomi.D,,
common__join53,FCT1_1,staging,derived,"if(IsNull(G)=True(),0,G)",CASE WHEN G IS NULL=TRUE THEN 0 ELSE G END,mikomi.G,,
common__join53,FCT2_1,staging,derived,"if(IsNull(H)=True(),0,H)",CASE WHEN H IS NULL=TRUE THEN 0 ELSE H END,mikomi.H,,
common__join53,FCT1_2,staging,derived,"if(IsNull(L)=True(),0,L)",CASE WHEN L IS NULL=TRUE THEN 0 ELSE L END,mikomi.L,,
common__join53,FCT2_2,staging,derived,"if(IsNull(M)=True(),0,M)",CASE WHEN M IS NULL=TRUE THEN 0 ELSE M END,mikomi.M,,
common__join53,FCT1_3,staging,derived,"if(IsNull(Q)=True(),0,Q)",CASE WHEN Q IS NULL=TRUE THEN 0 ELSE Q END,mikomi.Q,,
common__join53,FCT2_3,staging,derived,"if(IsNull(R)=True(),0,R)",CASE WHEN R IS NULL=TRUE THEN 0 ELSE R END,mikomi.R,,
common__join53,FCT1_4,staging,derived,"if(IsNull(V)=True(),0,V)",CASE WHEN V IS NULL=TRUE THEN 0 ELSE V END,mikomi.V,,
common__join53,FCT2_4,staging,derived,"if(IsNull(W)=True(),0,W)",CASE WHEN W IS NULL=TRUE THEN 0 ELSE W END,mikomi.W,,
common__join53,FCT1_5,staging,derived,"if(IsNull(AA)=True(),0,AA)",CASE WHEN AA IS NULL=TRUE THEN 0 ELSE AA END,mikomi.AA,,
common__join53,FCT2_5,staging,derived,"if(IsNull(AB)=True(),0,AB)",CASE WHEN AB IS NULL=TRUE THEN 0 ELSE AB END,mikomi.AB,,
common__join53,FCT1_6,staging,derived,"if(IsNull(AF)=True(),0,AF)",CASE WHEN AF IS NULL=TRUE THEN 0 ELSE AF END,mikomi.AF,,
common__join53,FCT2_6,staging,derived,"if(IsNull(AG)=True(),0,AG)",CASE WHEN AG IS NULL=TRUE THEN 0 ELSE AG END,mikomi.AG,,
common__join54,FCT_ID,staging,constant,'TOT','TOT',-,,
